"ID","AUTHOR","FILENAME","DATEEXECUTED","ORDEREXECUTED","EXECTYPE","MD5SUM","DESCRIPTION","COMMENTS","TAG","LIQUIBASE","CONTEXTS","LABELS","DEPLOYMENT_ID"
"1","developer","db/changelog/changes/001-create-users-table.yaml","2025-11-25T06:59:27.709","1","EXECUTED","9:2f4cff8c68e4bda903f4ba079e846dc0","createTable tableName=users","Create users table","","4.25.1","()","","4021567681"
"2","developer","db/changelog/changes/001-create-users-table.yaml","2025-11-25T06:59:27.717","2","EXECUTED","9:6b416c265f0dbef4b1e17cc9ccec3b7f","insert tableName=users; insert tableName=users","Insert initial users","","4.25.1","()","","4021567681"
"3","developer","db/changelog/changes/002-add-phone-column.yaml","2025-11-25T06:59:27.72","3","EXECUTED","9:a260b7827b4629bbf89f7b39fe8273ce","addColumn tableName=users","Add phone column to users table","","4.25.1","()","","4021567681"
"4","developer","db/changelog/changes/002-add-phone-column.yaml","2025-11-25T06:59:27.728","4","EXECUTED","9:16333a405cac3ebde147a513c02ee890","update tableName=users; update tableName=users","Update existing users with phone numbers","","4.25.1","()","","4021567681"
"5","developer","db/changelog/changes/003-create-orders-table.yaml","2025-11-25T06:59:27.735","5","EXECUTED","9:6a55b2b100d17f22b4814749d664a992","createTable tableName=orders","Create orders table","","4.25.1","()","","4021567681"
"6","developer","db/changelog/changes/003-create-orders-table.yaml","2025-11-25T06:59:27.74","6","EXECUTED","9:bc81603d9e5a08bbd52d9e2fa5ce5b37","insert tableName=orders; insert tableName=orders; insert tableName=orders","Insert sample orders","","4.25.1","()","","4021567681"
"7","developer","db/changelog/changes/004-migrate-users-to-members.yaml","2025-11-25T06:59:27.742","7","EXECUTED","9:5298756285f6e1c5ee799924d4c980e4","tagDatabase","Tag before migration for rollback point","before-users-migration","4.25.1","()","","4021567681"
"8","developer","db/changelog/changes/004-migrate-users-to-members.yaml","2025-11-25T06:59:27.75","8","EXECUTED","9:96c3bc4e11ab61780e8a0785ce7482c0","createTable tableName=members","Create new members table with improved structure","","4.25.1","()","","4021567681"
"9","developer","db/changelog/changes/004-migrate-users-to-members.yaml","2025-11-25T06:59:27.76","9","EXECUTED","9:888bd4b37f02e29989281182965623ae","sql","Migrate data from users to members table (Oracle)","","4.25.1","()","","4021567681"
"10","developer","db/changelog/changes/004-migrate-users-to-members.yaml","2025-11-25T06:59:27.764","10","EXECUTED","9:52c620688a59280163bfd5ff7feb8903","dropForeignKeyConstraint baseTableName=orders, constraintName=FK_ORDERS_USER; addForeignKeyConstraint baseTableName=orders, constraintName=FK_ORDERS_MEMBER, referencedTableName=members","Update orders foreign key to reference members","","4.25.1","()","","4021567681"
"11","developer","db/changelog/changes/004-migrate-users-to-members.yaml","2025-11-25T06:59:27.771","11","EXECUTED","9:331b6628b967ab05b5733598a9d5b80a","createTable tableName=users_backup; sql; dropTable tableName=users","Backup and drop old users table","","4.25.1","()","","4021567681"
"12","developer","db/changelog/changes/004-migrate-users-to-members.yaml","2025-11-25T06:59:27.775","12","EXECUTED","9:b98a288262f91f528360472c34254792","tagDatabase","Tag after successful migration","after-users-migration","4.25.1","()","","4021567681"
